z	log 1	log 2	log 3	log 4	log 5	log 6	log 7	log 8	log 9	log 10	log 11	log 12	log 13	
~A
1453	0.125900000334	0.174257144332	-999.25	0.105628572404	0.106814287603	0.0888428539038	-999.25	0.21108572185	0.227157130837	0.193285703659	0.15971429646	0.29699999094	0.226671427488	
1454	0.0931666716933	0.117833338678	-999.25	0.112149991095	0.181766673923	0.0669500008225	-999.25	0.17866666615	0.225099995732	0.255166679621	0.231999993324	0.323500007391	0.21698333323	
1455	0.0806714296341	0.0968571454287	-999.25	0.167771443725	0.162871435285	0.072757139802	-999.25	0.191057130694	0.0979285687208	0.218285724521	0.25	0.329142838717	0.0849428623915	
1456	0.127528563142	0.12508572638	-999.25	0.155085712671	0.127571433783	0.122828565538	-999.25	0.252771437168	0.0731857195497	0.104142852128	0.244428560138	0.280142843723	0.0790428593755	
1457	0.11724999547	0.200916647911	-999.25	0.151316657662	0.120483331382	0.139883324504	-999.25	0.253133326769	0.092183329165	0.0943333283067	0.284333348274	0.402999997139	0.0924333333969	
1458	0.0964428633451	0.127485722303	-999.25	0.150228574872	0.111457146704	0.115828573704	-999.25	0.244357153773	0.164485707879	0.119285710156	0.253571420908	0.176571443677	0.166557163	
1459	0.132400006056	0.125766664743	-999.25	0.147799998522	0.0824833288789	0.117500007153	-999.25	0.264766663313	0.174466669559	0.17783331871	0.188333332539	0.154499992728	0.172950014472	
1460	0.135114267468	0.123371429741	-999.25	0.173828572035	0.115914292634	0.122985713184	-999.25	0.262300014496	0.122914291918	0.168428570032	0.215857133269	0.227714300156	0.123514287174	
1461	0.112016670406	0.149233326316	-999.25	0.0977500081062	0.17228333652	0.152400001884	-999.25	0.219649985433	0.134733334184	0.12349999696	0.209833323956	0.199333325028	0.135416671634	
1462	0.152199998498	0.146457150578	-999.25	0.117285713553	0.175985723734	0.0939857214689	-999.25	0.238399982452	0.110428571701	0.118428573012	0.193714290857	0.196999996901	0.110042862594	
1463	0.147014290094	0.160071417689	-999.25	0.188085705042	0.146971434355	0.0777285769582	-999.25	0.238499984145	0.123228564858	0.0938571467996	0.204285725951	0.205428570509	0.125757142901	
1464	0.121433325112	0.120600007474	-999.25	0.113216668367	0.153099998832	0.151966661215	-999.25	0.213433325291	0.216466665268	0.0976666584611	0.235833331943	0.205166652799	0.211416661739	
1465	0.184585720301	0.155914276838	-999.25	0.153828576207	0.156614288688	0.0972857102752	-999.25	0.233500003815	0.212242841721	0.180285722017	0.260714292526	0.280428558588	0.214042827487	
1466	0.193133339286	0.120950005949	-999.25	0.162883326411	0.202200010419	0.0960999950767	-999.25	0.236400008202	0.206700012088	0.189500018954	0.142166659236	0.314999967813	0.208516657352	
1467	0.201085701585	0.129971429706	-999.25	0.101285718381	0.11245714128	0.144842863083	-999.25	0.267771422863	0.168057158589	0.168999999762	0.110714294016	0.310857117176	0.162714272738	
1468	0.225383356214	0.126366659999	-999.25	0.0774833336473	0.099483333528	0.0924500003457	-999.25	0.23303334415	0.168133333325	0.16249999404	0.122500002384	0.381999999285	0.165166676044	
