z	log 1	log 2	log 3	log 4	log 5	log 6	log 7	log 8	log 9	log 10	log 11	log 12	log 13	
~A
172	-999.25	-999.25	2.52656674385	-999.25	-999.25	2.50091671944	2.47400021553	-999.25	2.49511671066	2.53333353996	2.32050013542	2.49966645241	2.49546694756	
173	-999.25	-999.25	2.52042841911	-999.25	-999.25	2.50685715675	2.44534301758	-999.25	2.51278567314	2.53642845154	2.32971429825	2.46871423721	2.51748585701	
174	-999.25	-999.25	2.53125739098	-999.25	-999.25	2.52132844925	2.46894288063	-999.25	2.49714303017	2.52857160568	2.17328572273	2.46771430969	2.49582862854	
175	-999.25	-999.25	2.5257332325	-999.25	-999.25	2.5094499588	2.48198342323	-999.25	2.45624995232	2.54450011253	2.3125	2.48183345795	2.45878338814	
176	-999.25	-999.25	2.53245711327	-999.25	-999.25	2.51991438866	2.42781424522	-999.25	2.48018598557	2.49842834473	2.32528543472	2.48585700989	2.48699998856	
177	-999.25	-999.25	2.51801657677	-999.25	-999.25	2.52248334885	2.47569990158	-999.25	2.49920010567	2.49966645241	2.43183350563	2.5095000267	2.50244998932	
178	-999.25	-999.25	2.51481437683	-999.25	-999.25	2.51898574829	2.453799963	-999.25	2.52469992638	2.52485704422	2.49185729027	2.49671435356	2.52475714684	
179	-999.25	-999.25	2.51433300972	-999.25	-999.25	2.51244997978	2.4359998703	-999.25	2.51166653633	2.53816652298	2.50816655159	2.50183320045	2.51864981651	
180	-999.25	-999.25	2.52454304695	-999.25	-999.25	2.50967144966	2.44361424446	-999.25	2.51044273376	2.5388572216	2.43714308739	2.51171445847	2.51047134399	
181	-999.25	-999.25	2.53721690178	-999.25	-999.25	2.50851655006	2.44818329811	-999.25	2.49689984322	2.53983306885	2.48766684532	2.50049996376	2.4998998642	
182	-999.25	-999.25	2.53009986877	-999.25	-999.25	2.51355719566	2.46402859688	-999.25	2.49601411819	2.53742861748	2.43157148361	2.49657130241	2.49857139587	
183	-999.25	-999.25	2.52321434021	-999.25	-999.25	2.51139998436	2.46514296532	-999.25	2.47817111015	2.54385709763	2.50785708427	2.48442864418	2.47834277153	
184	-999.25	-999.25	2.52739977837	-999.25	-999.25	2.52021670341	2.48818325996	-999.25	2.47863316536	2.51366686821	2.52366662025	2.49116659164	2.48071694374	
185	-999.25	-999.25	2.52517127991	-999.25	-999.25	2.5207285881	2.44619989395	-999.25	2.48615694046	2.52371430397	2.51642847061	2.50985717773	2.49145722389	
186	-999.25	-999.25	2.52680015564	-999.25	-999.25	2.52706694603	2.46353340149	-999.25	2.49501633644	2.5406665802	2.51433348656	2.4796667099	2.49804997444	
187	-999.25	-999.25	2.52425718307	-999.25	-999.25	2.52761435509	2.4666428566	-999.25	2.49959993362	2.53814291954	2.49857139587	2.48628568649	2.50515723228	
188	-999.25	-999.25	2.52049994469	-999.25	-999.25	2.52756690979	2.41701674461	-999.25	2.4835164547	2.51799988747	2.50699996948	2.4880001545	2.4795665741	
189	-999.25	-999.25	2.50275683403	-999.25	-999.25	2.52501440048	2.43318581581	-999.25	2.48447155952	2.54728555679	2.49442839622	2.49528551102	2.48928570747	
190	-999.25	-999.25	2.5215857029	-999.25	-999.25	2.5152285099	2.43398594856	-999.25	2.48941421509	2.52799987793	2.51385712624	2.4942855835	2.49484300613	
191	-999.25	-999.25	2.47210001945	-999.25	-999.25	2.50578331947	2.44064998627	-999.25	2.5054166317	2.54016661644	2.51799988747	2.48833346367	2.50723338127	
192	-999.25	-999.25	2.52619981766	-999.25	-999.25	2.50944280624	2.44525718689	-999.25	2.50824308395	2.57642865181	2.52171444893	2.50057148933	2.51031446457	
193	-999.25	-999.25	2.50673317909	-999.25	-999.25	2.50303339958	2.42756652832	-999.25	2.4851334095	2.54266667366	2.51383328438	2.49049973488	2.48626661301	
194	-999.25	-999.25	2.50309991837	-999.25	-999.25	2.516299963	2.40065717697	-999.25	2.50134301186	2.53328561783	2.51014280319	2.50300002098	2.50234270096	
195	-999.25	-999.25	2.50821661949	-999.25	-999.25	2.52138328552	2.40718340874	-999.25	2.49400019646	2.53866672516	2.5258333683	2.49333333969	2.49290013313	
196	2.37545013428	-999.25	2.44848585129	-999.25	-999.25	2.50760006905	2.44518589973	-999.25	2.49004292488	2.53814268112	2.45357131958	2.48085713387	2.48934292793	
197	2.40651655197	-999.25	2.50846672058	-999.25	-999.25	2.51033329964	2.4294834137	-999.25	2.4781665802	2.52016663551	2.49850010872	2.52600002289	2.47718334198	
198	2.40572857857	-999.25	2.50674271584	-999.25	-999.25	2.5179002285	2.4301571846	-999.25	2.4708712101	2.54357147217	2.51542854309	2.52628564835	2.47032880783	
199	2.48227143288	-999.25	2.50352835655	-999.25	-999.25	2.52758598328	2.43094301224	-999.25	2.48724293709	2.52271437645	2.51471447945	2.52085709572	2.48798561096	
200	2.48670005798	-999.25	2.50573325157	-999.25	-999.25	2.53431677818	2.42421650887	-999.25	2.48051667213	2.53850007057	2.51250004768	2.49799990654	2.48064994812	
201	2.49195718765	-999.25	2.5123000145	-999.25	-999.25	2.51435685158	2.42024278641	-999.25	2.47585725784	2.51499986649	2.51357126236	2.49371409416	2.4769141674	
202	2.49541664124	-999.25	2.50446677208	-999.25	-999.25	2.48595023155	2.44771647453	-999.25	2.49496674538	2.4984998703	2.51583337784	2.32500004768	2.49404978752	
203	2.47498559952	-999.25	2.50307130814	-999.25	-999.25	2.44485712051	2.41950011253	-999.25	2.49399995804	2.51571440697	2.51342892647	1.749142766	2.49269986153	
204	2.4672832489	-999.25	2.51279997826	-999.25	-999.25	2.52393341064	2.43775010109	-999.25	2.49793338776	2.51900005341	2.51116657257	2.47933316231	2.49664998055	
205	2.48865699768	-999.25	2.51435709	-999.25	-999.25	2.50561451912	2.44137144089	-999.25	2.49668550491	2.50028586388	2.51128554344	2.48214292526	2.49974274635	
206	2.50964999199	-999.25	2.51478338242	-999.25	-999.25	2.4959666729	2.42166662216	-999.25	2.46979999542	2.50583338737	2.51316666603	2.48316669464	2.46746659279	
207	2.4852142334	-999.25	2.52511429787	-999.25	-999.25	2.52124285698	2.4419426918	-999.25	2.49819993973	2.5291428566	2.47414278984	2.49757146835	2.50264286995	
208	2.47659993172	2.37680006027	2.52065706253	-999.25	-999.25	2.48437142372	2.3794426918	-999.25	2.51912879944	2.53214287758	2.50771450996	2.47985696793	2.52132844925	
209	2.52091670036	2.43406653404	2.53474998474	-999.25	-999.25	2.5257833004	2.45126652718	-999.25	2.49261665344	2.54849982262	2.50733351707	2.48833322525	2.49026656151	
210	2.51547169685	2.46082854271	2.5256998539	-999.25	-999.25	2.5104572773	2.46738600731	-999.25	2.48601412773	2.50914263725	2.51799988747	2.52485704422	2.48578572273	
211	2.50841665268	2.39288330078	2.52226662636	-999.25	-999.25	2.50031685829	2.45941662788	-999.25	2.50113320351	2.52399992943	2.51883339882	2.49266695976	2.50379991531	
212	2.50732851028	2.36497116089	2.52688574791	-999.25	-999.25	2.51194310188	2.45697140694	-999.25	2.51064276695	2.52657151222	2.52614283562	2.52928566933	2.5144572258	
213	2.48753333092	2.47366666794	2.52106666565	-999.25	-999.25	2.52086663246	2.46676659584	-999.25	2.51048326492	2.52516674995	2.51150012016	2.48466682434	2.51179981232	
214	2.50482821465	2.48180007935	2.51945710182	-999.25	-999.25	2.51928544044	2.44301438332	-999.25	2.52074289322	2.54085707664	2.46742868423	2.46499991417	2.52132844925	
215	2.49072861671	2.47604298592	2.5293712616	-999.25	-999.25	2.48810005188	2.46910023689	-999.25	2.51034283638	2.52499985695	2.49757146835	2.45700025558	2.50872850418	
216	2.48886680603	2.47361660004	2.53740000725	-999.25	-999.25	2.49836659431	2.28323340416	-999.25	2.52226662636	2.54916667938	2.47099995613	2.46599984169	2.52749991417	
217	2.49448561668	2.48667144775	2.53027153015	-999.25	-999.25	2.50277137756	2.37451410294	-999.25	2.54049992561	2.5477142334	2.46971440315	2.48071432114	2.53734254837	
218	2.51083350182	2.48016667366	2.50581669807	-999.25	-999.25	2.53466653824	2.44321656227	-999.25	2.51608347893	2.55033326149	2.42050004005	2.49866652489	2.51233315468	
219	2.48314285278	2.48272848129	2.50904273987	-999.25	-999.25	2.48631429672	2.42491412163	-999.25	2.5093998909	2.54728555679	2.31514286995	2.46728563309	2.51572847366	
220	2.47204995155	2.47959971428	2.53151679039	-999.25	-999.25	2.52544999123	2.39318346977	-999.25	2.50901675224	2.54450011253	2.50900006294	2.47000002861	2.51058340073	
221	2.49162840843	2.49625730515	2.50702857971	-999.25	-999.25	2.51388573647	2.46769976616	-999.25	2.50769996643	2.53928565979	2.49457144737	2.49114274979	2.51279997826	
222	2.49635004997	2.47871661186	2.50694990158	-999.25	-999.25	2.50345015526	2.48604989052	-999.25	2.51056671143	2.5381667614	2.48716664314	2.47149991989	2.50778317451	
223	2.51438570023	2.48214316368	2.50952863693	-999.25	-999.25	2.50381422043	2.47650003433	-999.25	2.51774287224	2.54557156563	2.48814272881	2.48942875862	2.52171444893	
224	2.50494265556	2.51432847977	2.4626429081	-999.25	-999.25	2.51805710793	2.43215727806	-999.25	2.52025723457	2.5454287529	2.48871421814	2.46785736084	2.52759981155	
225	2.51903343201	2.49799990654	2.51139974594	-999.25	-999.25	2.49961662292	2.4931166172	-999.25	2.49688339233	2.53316664696	2.47116684914	2.48550009727	2.49898314476	
226	2.49168562889	2.4901714325	2.53029990196	-999.25	-999.25	2.50569987297	2.50648546219	-999.25	2.51924300194	2.52099990845	2.49314284325	2.49471449852	2.52279996872	
227	2.46458339691	2.50543308258	2.52670001984	-999.25	-999.25	2.4727499485	2.46860003471	-999.25	2.51143336296	2.52849984169	2.51666665077	2.4741666317	2.50874996185	
228	2.49628567696	2.49369978905	2.52997159958	-999.25	-999.25	2.53825712204	2.44824290276	-999.25	2.53778576851	2.52614283562	2.51942849159	2.44800019264	2.53455710411	
229	2.44968342781	2.51034998894	2.53486657143	-999.25	-999.25	2.50926661491	2.44849991798	-999.25	2.5203332901	2.55283331871	2.52150011063	2.47833323479	2.51528334618	
230	2.47839999199	2.49261426926	2.51728582382	-999.25	-999.25	2.47317147255	2.41322851181	-999.25	2.51357126236	2.56671404839	2.5092856884	2.48557138443	2.51054263115	
231	2.47162842751	2.48250007629	2.52172851562	-999.25	-999.25	2.39657139778	2.38279986382	-999.25	2.44467139244	2.53228569031	2.51157164574	2.48385739326	2.44645690918	
232	2.48351669312	2.47593331337	2.5163166523	-999.25	-999.25	2.43178343773	2.43706679344	-999.25	2.51403307915	2.4866669178	2.50500011444	2.4821665287	2.50783324242	
233	2.47060012817	2.48557138443	2.5089571476	-999.25	-999.25	2.38739991188	2.44041419029	-999.25	2.52897143364	2.52485704422	2.51042866707	2.49757146835	2.53021430969	
234	2.47301673889	2.4959833622	2.51813340187	-999.25	-999.25	2.42365002632	2.43924999237	-999.25	2.53966641426	2.56483340263	2.50966668129	2.48783326149	2.53724980354	
235	2.48442864418	2.48464274406	2.51519989967	-999.25	-999.25	2.41722846031	2.48277139664	-999.25	2.55275726318	2.5181427002	2.50628590584	2.52185702324	2.54744291306	
236	2.49850010872	2.5053665638	2.51793336868	-999.25	-999.25	2.39253354073	2.49035000801	-999.25	2.51416659355	2.51600003242	2.49916672707	2.50300002098	2.51273322105	
